sp_num,sp_name,sp_ori_name,sp_pr_code
25,/2024/05/13/slides_02_04_01.png ,slides_02_04_01.png ,SMEG500BL
26,/2024/05/13/slides_02_04_02.png ,slides_02_04_02.png ,SMEG500BL
27,/2024/05/13/slides_02_04_03.png ,slides_02_04_03.png ,SMEG500BL
28,/2024/05/13/slides_02_05_01.png ,slides_02_05_01.png ,SMEG500B
29,/2024/05/13/slides_02_05_02.png ,slides_02_05_02.png ,SMEG500B
30,/2024/05/13/slides_02_05_03.png ,slides_02_05_03.png ,SMEG500B
31,/2024/05/13/slides_03_01_01.png ,slides_03_01_01.png ,FAB28RDMM5
32,/2024/05/13/slides_03_01_02.png ,slides_03_01_02.png ,FAB28RDMM5
33,/2024/05/13/slides_03_01_03.png ,slides_03_01_03.png ,FAB28RDMM5
34,/2024/05/13/slides_04_01_01.png ,slides_04_01_01.png ,FAB28RDCC5
35,/2024/05/13/slides_04_01_02.png ,slides_04_01_02.png ,FAB28RDCC5
36,/2024/05/13/slides_04_01_03.png,slides_04_01_03.png,FAB28RDCC5
37,/2024/05/13/slides_05_01_01.png ,slides_05_01_01.png ,FA8005RAO5
38,/2024/05/13/slides_05_01_02.png ,slides_05_01_02.png ,FA8005RAO5
39,/2024/05/13/slides_05_01_03.png ,slides_05_01_03.png ,FA8005RAO5
